Player: 李世石, Date: 2001-09-14, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 崔原踊
Player: 李世石, Date: 2001-09-11, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 李圣宰
Player: 李世石, Date: 2001-09-03, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 李世石, Date: 2001-08-31, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 王煜辉
Player: 李世石, Date: 2001-08-29, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李世石, Date: 2001-08-22, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 李世石, Date: 2001-08-20, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 李世石, Date: 2001-08-14, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李世石, Date: 2001-07-25, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李世石, Date: 2001-07-20, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 李相勋(小)
Player: 李世石, Date: 2001-07-04, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 安永吉
Player: 李世石, Date: 2001-07-02, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李世石, Date: 2001-06-29, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 梁宰豪
Player: 李世石, Date: 2001-06-18, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 权五敏
Player: 李世石, Date: 2001-06-14, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 李世石, Date: 2001-06-13, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李世石, Date: 2001-06-08, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李世石, Date: 2001-05-24, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2001-05-19, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2001-05-17, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2001-05-15, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 李昌镐
