Player: 桥本昌二, Date: 1981-03-19, Rating: 3292, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 桥本昌二, Date: 1981-03-12, Rating: 3293, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 桥本昌二, Date: 1981-03-04, Rating: 3293, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 桥本昌二, Date: 1981-02-12, Rating: 3296, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 桥本昌二, Date: 1981-02-05, Rating: 3296, Black and White: 执白, Result: 胜, Opponent: 酒井猛
Player: 桥本昌二, Date: 1981-01-29, Rating: 3297, Black and White: 执白, Result: 胜, Opponent: 新垣武
Player: 桥本昌二, Date: 1981-01-08, Rating: 3298, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-12-28, Rating: 3335, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-12-24, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1981-12-21, Rating: 3334, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-12-16, Rating: 3334, Black and White: 执白, Result: 胜, Opponent: 岩田达明
Player: 小林光一, Date: 1981-12-10, Rating: 3333, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-12-03, Rating: 3333, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-11-25, Rating: 3332, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-11-19, Rating: 3331, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1981-11-12, Rating: 3331, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1981-11-05, Rating: 3330, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 小林光一, Date: 1981-10-29, Rating: 3330, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1981-10-22, Rating: 3329, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 小林光一, Date: 1981-10-19, Rating: 3329, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1981-10-15, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 宫泽吾朗
Player: 小林光一, Date: 1981-10-08, Rating: 3327, Black and White: 执白, Result: 胜, Opponent: 石博郁郎
Player: 小林光一, Date: 1981-10-04, Rating: 3327, Black and White: 执白, Result: 负, Opponent: 白石裕
Player: 小林光一, Date: 1981-10-01, Rating: 3327, Black and White: 执黑, Result: 胜, Opponent: 宫本义久
Player: 小林光一, Date: 1981-09-10, Rating: 3324, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 小林光一, Date: 1981-09-03, Rating: 3323, Black and White: 执白, Result: 胜, Opponent: 石博郁郎
