Player: 马晓春, Date: 1997-06-28, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 马晓春, Date: 1997-06-07, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 马晓春, Date: 1997-05-19, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 马晓春, Date: 1997-05-16, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 马晓春, Date: 1997-05-14, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 马晓春, Date: 1997-05-12, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 马晓春, Date: 1997-04-27, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 聂卫平
Player: 马晓春, Date: 1997-04-17, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 郑弘
Player: 马晓春, Date: 1997-04-14, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 王铭琬
Player: 马晓春, Date: 1997-04-09, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 马晓春, Date: 1997-03-09, Rating: 3373, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1997-03-07, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1997-03-05, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1997-03-03, Rating: 3374, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1997-02-23, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 马晓春, Date: 1997-02-17, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 王磊
Player: 马晓春, Date: 1997-02-13, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1997-01-09, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1997-12-13, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1997-12-04, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1997-11-27, Rating: 3355, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1997-11-20, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1997-11-05, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1997-10-22, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1997-10-15, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1997-10-01, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1997-09-24, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1997-09-10, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1997-08-21, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1997-08-13, Rating: 3356, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 赵治勋, Date: 1997-07-17, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 山田规三生
Player: 赵治勋, Date: 1997-06-29, Rating: 3357, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 赵治勋, Date: 1997-06-27, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 赵治勋, Date: 1997-06-16, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1997-06-07, Rating: 3357, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1997-06-02, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1997-05-26, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
