Player: 朴廷桓, Date: 2013-02-04, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-04, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-01, Rating: 3596, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-01, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 朴廷桓, Date: 2013-01-28, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-01-23, Rating: 3594, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2013-01-18, Rating: 3593, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2013-01-18, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 朴文垚
Player: 朴廷桓, Date: 2013-01-17, Rating: 3593, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2013-01-17, Rating: 3593, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-01-16, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2013-01-16, Rating: 3593, Black and White: 执黑, Result: 负, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2013-01-15, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2013-01-15, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 朴廷桓, Date: 2013-01-07, Rating: 3591, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2013-12-23, Rating: 3570, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 李世石, Date: 2013-12-21, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 金成进
Player: 李世石, Date: 2013-12-20, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 李世石, Date: 2013-12-16, Rating: 3570, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2013-12-16, Rating: 3570, Black and White: 执黑, Result: 胜, Opponent: 韩尚勋
Player: 李世石, Date: 2013-12-15, Rating: 3570, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-12-14, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-12-11, Rating: 3569, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 李世石, Date: 2013-12-10, Rating: 3569, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 李世石, Date: 2013-12-03, Rating: 3569, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 李世石, Date: 2013-11-30, Rating: 3569, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-29, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2013-11-28, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 李世石, Date: 2013-11-26, Rating: 3569, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-23, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2013-11-21, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-20, Rating: 3570, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-16, Rating: 3569, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 李世石, Date: 2013-11-14, Rating: 3569, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2013-11-12, Rating: 3569, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-11, Rating: 3570, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-10, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2013-11-07, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 李世石, Date: 2013-11-06, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 李世石, Date: 2013-11-04, Rating: 3570, Black and White: 执黑, Result: 负, Opponent: 邬光亚
Player: 李世石, Date: 2013-10-31, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2013-10-29, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2013-10-26, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2013-10-25, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 姜儒泽
Player: 李世石, Date: 2013-10-20, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2013-10-18, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-10-13, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 王昊洋
Player: 李世石, Date: 2013-10-10, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 李世石, Date: 2013-10-08, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 李世石, Date: 2013-09-27, Rating: 3567, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 李世石, Date: 2013-09-25, Rating: 3567, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 李世石, Date: 2013-09-23, Rating: 3567, Black and White: 执黑, Result: 胜, Opponent: 柳才馨
Player: 李世石, Date: 2013-09-19, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2013-09-05, Rating: 3564, Black and White: 执黑, Result: 胜, Opponent: 小松英树
Player: 李世石, Date: 2013-09-04, Rating: 3564, Black and White: 执黑, Result: 胜, Opponent: 吕皓钧
Player: 李世石, Date: 2013-09-03, Rating: 3564, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-09-01, Rating: 3564, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 李世石, Date: 2013-08-30, Rating: 3564, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-08-14, Rating: 3562, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 李世石, Date: 2013-08-08, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 李世石, Date: 2013-08-01, Rating: 3560, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2013-07-25, Rating: 3559, Black and White: 执黑, Result: 胜, Opponent: 李昊承
Player: 李世石, Date: 2013-07-18, Rating: 3558, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 李世石, Date: 2013-07-17, Rating: 3558, Black and White: 执白, Result: 负, Opponent: 李元荣
Player: 李世石, Date: 2013-07-15, Rating: 3558, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 李世石, Date: 2013-07-11, Rating: 3558, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 李世石, Date: 2013-07-09, Rating: 3557, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2013-07-07, Rating: 3557, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 李世石, Date: 2013-07-04, Rating: 3557, Black and White: 执白, Result: 胜, Opponent: 姜秉卷
Player: 李世石, Date: 2013-06-28, Rating: 3556, Black and White: 执黑, Result: 负, Opponent: 王檄
Player: 李世石, Date: 2013-06-22, Rating: 3556, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 李世石, Date: 2013-06-20, Rating: 3556, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-19, Rating: 3555, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-17, Rating: 3555, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 李世石, Date: 2013-06-13, Rating: 3555, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2013-06-12, Rating: 3555, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 李世石, Date: 2013-06-10, Rating: 3555, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 李世石, Date: 2013-06-03, Rating: 3554, Black and White: 执白, Result: 胜, Opponent: 姜至省
Player: 李世石, Date: 2013-05-18, Rating: 3553, Black and White: 执白, Result: 负, Opponent: 李轩豪
Player: 李世石, Date: 2013-05-12, Rating: 3553, Black and White: 执黑, Result: 负, Opponent: 韩雄奎
Player: 李世石, Date: 2013-05-09, Rating: 3553, Black and White: 执白, Result: 负, Opponent: 佟禹林
