Player: 刘昌赫, Date: 2000-03-24, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 刘昌赫, Date: 2000-03-17, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 任昌植
Player: 刘昌赫, Date: 2000-03-16, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 崔圭丙
Player: 刘昌赫, Date: 2000-03-13, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 刘昌赫, Date: 2000-03-06, Rating: 3397, Black and White: 执黑, Result: 负, Opponent: 崔圭丙
Player: 刘昌赫, Date: 2000-03-06, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 刘昌赫, Date: 2000-03-02, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 刘昌赫, Date: 2000-02-29, Rating: 3398, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 刘昌赫, Date: 2000-02-24, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2000-02-17, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2000-02-15, Rating: 3400, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 刘昌赫, Date: 2000-02-10, Rating: 3400, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 2000-01-26, Rating: 3401, Black and White: 执黑, Result: 负, Opponent: 元晟溱
Player: 刘昌赫, Date: 2000-01-03, Rating: 3404, Black and White: 执黑, Result: 负, Opponent: 郑寿铉
Player: 李世石, Date: 2000-12-20, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2000-12-18, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2000-12-08, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2000-12-06, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 柳才馨
Player: 李世石, Date: 2000-12-04, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2000-11-25, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 柳才馨
Player: 李世石, Date: 2000-11-20, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2000-11-14, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 芮乃伟
Player: 李世石, Date: 2000-11-10, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2000-11-07, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2000-11-01, Rating: 3421, Black and White: 执黑, Result: 负, Opponent: 李相勋(小)
Player: 李世石, Date: 2000-10-29, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 柳才馨
Player: 李世石, Date: 2000-10-24, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 李相勋(小)
Player: 李世石, Date: 2000-10-20, Rating: 3421, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2000-10-16, Rating: 3421, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2000-10-11, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2000-10-06, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 李相勋(小)
Player: 李世石, Date: 2000-10-04, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2000-09-29, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2000-09-25, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2000-09-18, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李世石, Date: 2000-09-12, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 李世石, Date: 2000-09-04, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李世石, Date: 2000-09-01, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 芮乃伟
Player: 李世石, Date: 2000-08-30, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李世石, Date: 2000-08-25, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 金寅
Player: 李世石, Date: 2000-08-16, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2000-08-14, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2000-08-04, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李世石, Date: 2000-07-26, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 金万树
Player: 李世石, Date: 2000-07-03, Rating: 3419, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李世石, Date: 2000-06-26, Rating: 3419, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李世石, Date: 2000-06-15, Rating: 3419, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2000-06-13, Rating: 3419, Black and White: 执黑, Result: 胜, Opponent: 卡塔林
Player: 李世石, Date: 2000-06-09, Rating: 3418, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2000-06-05, Rating: 3418, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李世石, Date: 2000-06-01, Rating: 3418, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2000-05-29, Rating: 3418, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李世石, Date: 2000-05-26, Rating: 3418, Black and White: 执白, Result: 胜, Opponent: 尹奇铉
Player: 李世石, Date: 2000-04-10, Rating: 3415, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2000-03-29, Rating: 3414, Black and White: 执白, Result: 胜, Opponent: 尹炫皙
Player: 李世石, Date: 2000-02-21, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 周鹤洋, Date: 2000-12-28, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 周鹤洋, Date: 2000-12-15, Rating: 3368, Black and White: 执白, Result: 负, Opponent: 杨士海
Player: 周鹤洋, Date: 2000-12-14, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 刘小光
Player: 周鹤洋, Date: 2000-12-12, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 吴淞笙
Player: 周鹤洋, Date: 2000-12-11, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 吴肇毅
Player: 周鹤洋, Date: 2000-12-07, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 赵善津
Player: 周鹤洋, Date: 2000-12-02, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 邵炜刚
Player: 周鹤洋, Date: 2000-11-14, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 周鹤洋, Date: 2000-11-09, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 林朝华
Player: 周鹤洋, Date: 2000-10-26, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 周鹤洋, Date: 2000-10-22, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 周鹤洋, Date: 2000-10-21, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 周鹤洋, Date: 2000-10-14, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 邵炜刚
Player: 周鹤洋, Date: 2000-10-09, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 杨一80
Player: 周鹤洋, Date: 2000-10-04, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 梁宰豪
Player: 周鹤洋, Date: 2000-09-24, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 周鹤洋, Date: 2000-09-16, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 周鹤洋, Date: 2000-09-14, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 段嵘
