Player: 朴廷桓, Date: 2023-06-05, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 金丞求
Player: 朴廷桓, Date: 2023-06-04, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 许荣珞
Player: 朴廷桓, Date: 2023-05-31, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 王星昊
Player: 朴廷桓, Date: 2023-05-26, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2023-05-25, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2023-05-24, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-05-22, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-05-19, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 偰玹准
Player: 朴廷桓, Date: 2023-05-15, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-05-12, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 酒井佑规
Player: 朴廷桓, Date: 2023-05-06, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2023-05-05, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2023-04-29, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 朴廷桓, Date: 2023-04-29, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 朴廷桓, Date: 2023-04-27, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2023-04-26, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2023-04-20, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 洪茂镇
Player: 朴廷桓, Date: 2023-04-17, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-04-12, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 朴键昊
Player: 朴廷桓, Date: 2023-04-10, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 朴进率
Player: 朴廷桓, Date: 2023-04-06, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-04-06, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-04-03, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2023-04-01, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-03-27, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 朴廷桓, Date: 2023-03-23, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 李元荣
Player: 朴廷桓, Date: 2023-03-23, Rating: 3685, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2023-03-21, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2023-03-20, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2023-03-18, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 朴钟勋
Player: 朴廷桓, Date: 2023-03-14, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 朴廷桓, Date: 2023-03-13, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-03-11, Rating: 3685, Black and White: 执白, Result: 负, Opponent: 韩升周
Player: 朴廷桓, Date: 2023-03-10, Rating: 3685, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-03-08, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2023-03-08, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2023-03-06, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 朴珉奎
Player: 朴廷桓, Date: 2023-03-03, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 平田智也
Player: 朴廷桓, Date: 2023-03-01, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 李昌锡
Player: 朴廷桓, Date: 2023-02-28, Rating: 3685, Black and White: 执白, Result: 负, Opponent: 韩升周
Player: 朴廷桓, Date: 2023-02-25, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2023-02-22, Rating: 3686, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2023-02-21, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2023-02-21, Rating: 3686, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2023-02-20, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2023-02-18, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 朴廷桓, Date: 2023-02-17, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2023-02-15, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 朴廷桓, Date: 2023-02-15, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 洪茂镇
Player: 朴廷桓, Date: 2023-02-14, Rating: 3686, Black and White: 执黑, Result: 负, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2023-02-12, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 朴廷桓, Date: 2023-02-11, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 朴廷桓, Date: 2023-02-10, Rating: 3686, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2023-02-09, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 韩一洲
Player: 朴廷桓, Date: 2023-02-07, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 曹潇阳
