Player: 赵治勋, Date: 1989-06-03, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 赵治勋, Date: 1989-05-29, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1989-05-25, Rating: 3361, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1989-05-12, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1989-05-04, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 赵治勋, Date: 1989-04-24, Rating: 3363, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1989-04-13, Rating: 3363, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 赵治勋, Date: 1989-04-06, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-04-03, Rating: 3362, Black and White: 执白, Result: 负, Opponent: 刘小光
Player: 赵治勋, Date: 1989-03-30, Rating: 3362, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1989-03-24, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-03-16, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1989-03-07, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1989-03-02, Rating: 3362, Black and White: 执白, Result: 负, Opponent: 本田邦久
Player: 赵治勋, Date: 1989-02-23, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1989-02-11, Rating: 3362, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 赵治勋, Date: 1989-02-09, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 上村邦夫
Player: 赵治勋, Date: 1989-02-02, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 赵治勋, Date: 1989-01-26, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1989-01-19, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 赵治勋, Date: 1989-01-12, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1989-01-09, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 李昌镐, Date: 1989-12-23, Rating: 3403, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-12-11, Rating: 3400, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-12-05, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 1989-12-03, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1989-12-01, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 周咸亨
Player: 李昌镐, Date: 1989-11-09, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1989-11-08, Rating: 3393, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-11-06, Rating: 3393, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1989-11-01, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-10-30, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
