Player: 小林光一, Date: 1990-02-07, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-01-31, Rating: 3390, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-01-25, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1990-01-17, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1990-01-10, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 聂卫平, Date: 1990-12-10, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1990-12-08, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 曹大元
Player: 聂卫平, Date: 1990-12-03, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 聂卫平, Date: 1990-11-26, Rating: 3362, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1990-10-13, Rating: 3366, Black and White: 执白, Result: 胜, Opponent: 陈临新
Player: 聂卫平, Date: 1990-10-11, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 聂卫平, Date: 1990-10-09, Rating: 3366, Black and White: 执白, Result: 胜, Opponent: 王群
Player: 聂卫平, Date: 1990-10-07, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1990-09-26, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1990-09-21, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1990-09-16, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1990-09-10, Rating: 3367, Black and White: 执黑, Result: 负, Opponent: 曹大元
Player: 聂卫平, Date: 1990-09-02, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1990-08-15, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1990-08-04, Rating: 3368, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 聂卫平, Date: 1990-07-26, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1990-07-24, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1990-07-16, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 聂卫平, Date: 1990-07-07, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 聂卫平, Date: 1990-06-02, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 车敏洙
Player: 聂卫平, Date: 1990-05-10, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 王洪军
Player: 聂卫平, Date: 1990-05-08, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 阮云生
