Player: 赵治勋, Date: 1998-06-15, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 赵治勋, Date: 1998-06-11, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1998-06-01, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-05-28, Rating: 3351, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 赵治勋, Date: 1998-05-21, Rating: 3351, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1998-05-18, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1998-05-14, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 王铭琬
Player: 赵治勋, Date: 1998-04-30, Rating: 3350, Black and White: 执黑, Result: 胜, Opponent: 秋山次郎
Player: 赵治勋, Date: 1998-04-23, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1998-04-13, Rating: 3350, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 赵治勋, Date: 1998-04-09, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 麦克雷蒙
Player: 赵治勋, Date: 1998-03-27, Rating: 3349, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 赵治勋, Date: 1998-03-14, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 加藤充志
Player: 赵治勋, Date: 1998-03-11, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-03-07, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-03-05, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 石仓升
Player: 赵治勋, Date: 1998-02-25, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-02-22, Rating: 3350, Black and White: 执白, Result: 负, Opponent: 本田邦久
