Player: 古力, Date: 2007-05-24, Rating: 3506, Black and White: 执白, Result: 胜, Opponent: 冯伟
Player: 古力, Date: 2007-05-19, Rating: 3505, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 古力, Date: 2007-05-12, Rating: 3505, Black and White: 执黑, Result: 负, Opponent: 谢赫
Player: 古力, Date: 2007-04-21, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 刘世振
Player: 古力, Date: 2007-04-20, Rating: 3503, Black and White: 执黑, Result: 负, Opponent: 刘世振
Player: 古力, Date: 2007-04-18, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 刘世振
Player: 古力, Date: 2007-04-16, Rating: 3503, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 古力, Date: 2007-03-29, Rating: 3503, Black and White: 执黑, Result: 负, Opponent: 杨一80
Player: 古力, Date: 2007-03-28, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 刘菁
Player: 古力, Date: 2007-03-25, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 古力, Date: 2007-03-23, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 古力, Date: 2007-03-13, Rating: 3503, Black and White: 执黑, Result: 负, Opponent: 余平
Player: 古力, Date: 2007-02-09, Rating: 3503, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 古力, Date: 2007-01-23, Rating: 3503, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2007-01-21, Rating: 3503, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2007-01-19, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 古力, Date: 2007-01-08, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 古力, Date: 2007-01-06, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 古力, Date: 2007-01-04, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 谢赫, Date: 2007-12-24, Rating: 3484, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 谢赫, Date: 2007-12-24, Rating: 3484, Black and White: 执黑, Result: 胜, Opponent: 丁烈
Player: 谢赫, Date: 2007-12-22, Rating: 3484, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 谢赫, Date: 2007-12-15, Rating: 3485, Black and White: 执白, Result: 胜, Opponent: 黄晨
Player: 谢赫, Date: 2007-12-08, Rating: 3485, Black and White: 执白, Result: 胜, Opponent: 李康
Player: 谢赫, Date: 2007-12-01, Rating: 3485, Black and White: 执白, Result: 负, Opponent: 王垚
Player: 谢赫, Date: 2007-11-24, Rating: 3485, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 谢赫, Date: 2007-11-17, Rating: 3485, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 谢赫, Date: 2007-11-10, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 黄奕中
Player: 谢赫, Date: 2007-11-01, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 吴树浩
Player: 谢赫, Date: 2007-10-26, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 谢赫, Date: 2007-10-24, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 张璇
Player: 谢赫, Date: 2007-10-20, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 李喆
Player: 谢赫, Date: 2007-10-13, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 谢赫, Date: 2007-09-27, Rating: 3487, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 谢赫, Date: 2007-08-25, Rating: 3487, Black and White: 执黑, Result: 胜, Opponent: 时越
