Match,Distribution Type,Data Type,Parameter,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament
StarCraft,Uniform,Simulation Data,2,0.43749999999999983,0.43980614973262044,0.39522058823529405,0.3685661764705882,0.2832553475935829,0.09837901069518716
StarCraft,Uniform,Simulation Data,3,0.38967245989304805,0.3605280748663101,0.2247660427807487,0.32489973262032085,0.2922627005347594,0.049782754010695186
StarCraft,Uniform,Simulation Data,4,0.367062165775401,0.3732954545454546,0.22981283422459892,0.3624665775401069,0.37653743315508026,-0.005564839572192504
StarCraft,Uniform,Simulation Data,5,0.36074532085561495,0.39739304812834225,0.21091243315508018,0.417028743315508,0.3358622994652406,0.03639705882352942
StarCraft,Uniform,Simulation Data,6,0.4668449197860962,0.374649064171123,0.21047794117647062,0.3741811497326203,0.4322860962566845,0.006183155080213915
StarCraft,Uniform,Simulation Data,7,0.45733622994652395,0.3614639037433155,0.22491644385026738,0.4209391711229946,0.4252840909090909,0.001387032085561507
StarCraft,Uniform,Simulation Data,8,0.4279411764705882,0.4230949197860962,0.16493983957219252,0.47416443850267376,0.4430648395721925,0.013135026737967926
StarCraft,Uniform,Simulation Data,9,0.48106617647058814,0.38524398395721926,0.20401069518716577,0.4756851604278074,0.4102272727272728,-0.015491310160427796
StarCraft,Uniform,Simulation Data,10,0.5086564171122994,0.47279411764705886,0.16097927807486628,0.41002673796791456,0.37621991978609615,0.014221256684491989
StarCraft,Uniform,Simulation Data,11,0.5074699197860962,0.46149732620320866,0.17832553475935828,0.46258355614973257,0.37989639037433154,0.01188168449197861
StarCraft,Uniform,Simulation Data,12,0.5252005347593582,0.4753008021390374,0.16749665775401068,0.4237633689839573,0.4661096256684492,-0.011948529411764702
StarCraft,Uniform,Simulation Data,13,0.5686998663101605,0.48056483957219254,0.20232286096256683,0.4141042780748664,0.38806818181818176,0.012149064171122981
StarCraft,Uniform,Simulation Data,14,0.5410594919786096,0.499298128342246,0.1660427807486631,0.4386363636363635,0.3595922459893048,0.01741310160427808
StarCraft,Uniform,Simulation Data,15,0.5679478609625668,0.4744485294117647,0.20212232620320852,0.4908756684491979,0.34617312834224595,0.006851604278074857
StarCraft,Uniform,Simulation Data,16,0.5575200534759358,0.5408589572192513,0.14039104278074865,0.42785762032085567,0.43333890374331546,0.018081550802139044
StarCraft,Uniform,Simulation Data,17,0.5935494652406416,0.5625000000000001,0.17192513368983958,0.49070855614973274,0.43404077540106956,-0.009776069518716563
StarCraft,Uniform,Simulation Data,18,0.587182486631016,0.5982118983957218,0.1893549465240642,0.49807820855614987,0.4186497326203208,0.005815508021390364
StarCraft,Uniform,Simulation Data,19,0.6464070855614972,0.617028743315508,0.19428475935828876,0.4404244652406417,0.36051136363636366,0.030915775401069528
StarCraft,Uniform,Simulation Data,20,0.613586229946524,0.6133689839572192,0.1924298128342246,0.4345755347593583,0.4184993315508021,0.008038101604278074
StarCraft,Uniform,Simulation Data,21,0.6045788770053476,0.5786096256684491,0.14762700534759363,0.48621323529411764,0.40036764705882355,0.03861965240641711
StarCraft,Uniform,Simulation Data,22,0.630548128342246,0.5822025401069519,0.2001336898395722,0.45561497326203204,0.41310160427807485,0.023930481283422456
StarCraft,Uniform,Simulation Data,23,0.6601604278074866,0.6473094919786095,0.16831550802139036,0.477423128342246,0.37526737967914436,0.01980280748663103
StarCraft,Uniform,Simulation Data,24,0.6346590909090909,0.6320688502673795,0.16355280748663098,0.45031751336898385,0.3835060160427807,0.03230280748663101
StarCraft,Uniform,Simulation Data,25,0.6557486631016042,0.6391878342245989,0.19715909090909092,0.49908088235294124,0.39866310160427815,0.035661764705882365
StarCraft,Uniform,Simulation Data,26,0.7038101604278075,0.6734458556149732,0.22023729946524068,0.4505681818181819,0.40327540106951865,0.05556483957219253
StarCraft,Uniform,Simulation Data,27,0.6850935828877005,0.6201203208556149,0.1727941176470589,0.5074364973262032,0.41584224598930486,0.04595588235294117
StarCraft,Uniform,Simulation Data,28,0.6782921122994652,0.6450701871657755,0.18135026737967913,0.5143048128342247,0.42433155080213913,0.03870320855614974
StarCraft,Uniform,Simulation Data,29,0.7106617647058824,0.6936163101604279,0.16766377005347594,0.48185160427807505,0.39720922459893043,0.029745989304812835
StarCraft,Uniform,Simulation Data,30,0.6992814171122994,0.6638703208556149,0.20185494652406413,0.5545788770053476,0.38210227272727265,0.06759692513368984
StarCraft,Uniform,Simulation Data,31,0.7112466577540106,0.7158756684491978,0.24366644385026737,0.4589070855614973,0.4072192513368984,0.07468248663101604
