Player: 柯洁, Date: 2018-12-17, Rating: 3702, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 柯洁, Date: 2018-12-14, Rating: 3702, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 柯洁, Date: 2018-12-12, Rating: 3701, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2018-12-05, Rating: 3701, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 柯洁, Date: 2018-12-04, Rating: 3701, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 柯洁, Date: 2018-12-03, Rating: 3700, Black and White: 执黑, Result: 负, Opponent: 安国铉
Player: 柯洁, Date: 2018-12-01, Rating: 3700, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 柯洁, Date: 2018-11-30, Rating: 3700, Black and White: 执黑, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2018-11-29, Rating: 3700, Black and White: 执白, Result: 胜, Opponent: 廖元赫
Player: 柯洁, Date: 2018-11-21, Rating: 3699, Black and White: 执黑, Result: 负, Opponent: 李钦诚
Player: 柯洁, Date: 2018-11-19, Rating: 3699, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2018-11-18, Rating: 3699, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2018-11-16, Rating: 3699, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 柯洁, Date: 2018-11-09, Rating: 3699, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 柯洁, Date: 2018-11-07, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2018-11-06, Rating: 3698, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 柯洁, Date: 2018-11-05, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2018-11-02, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 柯洁, Date: 2018-10-29, Rating: 3698, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2018-10-27, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 钟文靖
Player: 柯洁, Date: 2018-10-10, Rating: 3696, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 柯洁, Date: 2018-10-08, Rating: 3696, Black and White: 执白, Result: 负, Opponent: 李钦诚
Player: 柯洁, Date: 2018-10-02, Rating: 3695, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2018-10-01, Rating: 3695, Black and White: 执黑, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2018-09-28, Rating: 3695, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2018-09-21, Rating: 3694, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 柯洁, Date: 2018-09-12, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 秦悦欣
Player: 柯洁, Date: 2018-09-10, Rating: 3694, Black and White: 执黑, Result: 负, Opponent: 辜梓豪
Player: 柯洁, Date: 2018-09-08, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 廖元赫
Player: 柯洁, Date: 2018-09-06, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 柯洁, Date: 2018-09-05, Rating: 3693, Black and White: 执白, Result: 负, Opponent: 谢尔豪
Player: 柯洁, Date: 2018-09-04, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 柯洁, Date: 2018-08-15, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 柯洁, Date: 2018-08-13, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2018-08-06, Rating: 3692, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2018-07-26, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 柯洁, Date: 2018-07-24, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 柯洁, Date: 2018-07-18, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2018-07-16, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 柯洁, Date: 2018-06-25, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 范蕴若
Player: 柯洁, Date: 2018-06-22, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2018-06-20, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2018-06-18, Rating: 3689, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2018-06-15, Rating: 3688, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2018-06-13, Rating: 3688, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2018-06-07, Rating: 3688, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2018-06-06, Rating: 3688, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 柯洁, Date: 2018-06-05, Rating: 3688, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2018-06-04, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 刘星
Player: 柯洁, Date: 2018-06-02, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2018-05-28, Rating: 3687, Black and White: 执黑, Result: 负, Opponent: 元晟溱
Player: 柯洁, Date: 2018-05-25, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2018-05-21, Rating: 3686, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 柯洁, Date: 2018-05-16, Rating: 3686, Black and White: 执白, Result: 负, Opponent: 童梦成
Player: 柯洁, Date: 2018-05-14, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2018-05-12, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 柯洁, Date: 2018-05-11, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 李钦诚
Player: 柯洁, Date: 2018-05-09, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2018-04-29, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 芝野虎丸
Player: 柯洁, Date: 2018-04-25, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 柯洁, Date: 2018-04-21, Rating: 3684, Black and White: 执白, Result: 负, Opponent: 范胤
Player: 柯洁, Date: 2018-04-19, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2018-04-09, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 陈贤
Player: 柯洁, Date: 2018-04-09, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 孙腾宇
Player: 柯洁, Date: 2018-04-07, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2018-03-30, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 秦悦欣
Player: 柯洁, Date: 2018-03-28, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2018-03-26, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 柯洁, Date: 2018-03-23, Rating: 3682, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 柯洁, Date: 2018-03-18, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2018-03-17, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2018-03-09, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 付冲
Player: 柯洁, Date: 2018-03-09, Rating: 3681, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2018-03-01, Rating: 3681, Black and White: 执白, Result: 负, Opponent: 金志锡
