Player: 赵治勋, Date: 1985-09-19, Rating: 3395, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1985-09-11, Rating: 3395, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1985-09-05, Rating: 3395, Black and White: 执黑, Result: 胜, Opponent: 岩田达明
Player: 赵治勋, Date: 1985-08-22, Rating: 3395, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1985-08-01, Rating: 3394, Black and White: 执黑, Result: 胜, Opponent: 杉内雅男
Player: 赵治勋, Date: 1985-07-18, Rating: 3394, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-06-06, Rating: 3393, Black and White: 执白, Result: 胜, Opponent: 今村俊也
Player: 赵治勋, Date: 1985-05-16, Rating: 3393, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1985-04-18, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 赵治勋, Date: 1985-04-04, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 新垣武
Player: 赵治勋, Date: 1985-03-19, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-03-13, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-03-10, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1985-03-09, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1985-03-07, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 赵治勋, Date: 1985-02-27, Rating: 3390, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-02-20, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-02-06, Rating: 3388, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-01-30, Rating: 3388, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1985-01-27, Rating: 3388, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1985-01-24, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1985-01-19, Rating: 3387, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1985-01-16, Rating: 3387, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 武宫正树, Date: 1985-12-19, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 武宫正树, Date: 1985-12-05, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 武宫正树, Date: 1985-11-13, Rating: 3363, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 武宫正树, Date: 1985-11-09, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 武宫正树, Date: 1985-11-07, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 武宫正树, Date: 1985-10-24, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 榊原章二
Player: 武宫正树, Date: 1985-10-10, Rating: 3364, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-10-03, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 宫泽吾朗
Player: 武宫正树, Date: 1985-08-28, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 武宫正树, Date: 1985-08-22, Rating: 3364, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1985-07-25, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 武宫正树, Date: 1985-07-18, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-07-04, Rating: 3364, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1985-06-26, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 武宫正树, Date: 1985-06-19, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 武宫正树, Date: 1985-06-06, Rating: 3364, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1985-05-29, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 武宫正树, Date: 1985-05-23, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 曲励起
Player: 武宫正树, Date: 1985-05-15, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 武宫正树, Date: 1985-05-09, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 宫本直毅
Player: 武宫正树, Date: 1985-05-02, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 武宫正树, Date: 1985-04-27, Rating: 3363, Black and White: 执黑, Result: 胜, Opponent: 高木祥一
Player: 武宫正树, Date: 1985-04-18, Rating: 3362, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 武宫正树, Date: 1985-04-11, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 中村秀仁
Player: 武宫正树, Date: 1985-04-04, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1985-03-19, Rating: 3360, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-03-13, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-03-10, Rating: 3359, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 武宫正树, Date: 1985-03-07, Rating: 3359, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 武宫正树, Date: 1985-02-27, Rating: 3359, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-02-20, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-02-17, Rating: 3359, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 武宫正树, Date: 1985-02-14, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 武宫正树, Date: 1985-02-06, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-01-30, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-01-24, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 酒井猛
Player: 武宫正树, Date: 1985-01-16, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1985-01-10, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 岩田达明
Player: 加藤正夫, Date: 1985-12-19, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-12-12, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-12-05, Rating: 3370, Black and White: 执白, Result: 负, Opponent: 武宫正树
