Player: 柯洁, Date: 2022-03-02, Rating: 3700, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2022-03-01, Rating: 3701, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 柯洁, Date: 2022-02-28, Rating: 3701, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2022-02-25, Rating: 3701, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2022-02-18, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 柯洁, Date: 2022-02-16, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 伊凌涛
Player: 柯洁, Date: 2022-01-20, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2022-01-14, Rating: 3704, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2022-01-13, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2022-12-15, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 朴伸英
Player: 朴廷桓, Date: 2022-11-02, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2022-11-01, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2022-10-28, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2022-09-21, Rating: 3682, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2022-09-18, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 李维清
Player: 朴廷桓, Date: 2022-09-15, Rating: 3682, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2022-09-09, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2022-09-07, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2022-08-30, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 胡子豪
Player: 朴廷桓, Date: 2022-08-25, Rating: 3682, Black and White: 执白, Result: 负, Opponent: 李钦诚
Player: 朴廷桓, Date: 2022-08-14, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 申真谞
