Player: 柯洁, Date: 2019-12-11, Rating: 3720, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 柯洁, Date: 2019-12-09, Rating: 3720, Black and White: 执白, Result: 负, Opponent: 赵晨宇
Player: 柯洁, Date: 2019-11-16, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2019-11-15, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2019-11-15, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2019-11-14, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 陈昱森
Player: 柯洁, Date: 2019-11-12, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 陈贤
Player: 柯洁, Date: 2019-11-12, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 李成森
Player: 柯洁, Date: 2019-11-11, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 李轩豪
Player: 柯洁, Date: 2019-11-11, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 柯洁, Date: 2019-11-10, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 陈一纯
Player: 柯洁, Date: 2019-11-10, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 张强
Player: 柯洁, Date: 2019-11-09, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 柯洁, Date: 2019-11-09, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2019-11-06, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2019-11-04, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 张紫良
Player: 柯洁, Date: 2019-10-30, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2019-10-28, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2019-10-24, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2019-10-22, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2019-10-13, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2019-10-11, Rating: 3718, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2019-10-10, Rating: 3718, Black and White: 执黑, Result: 胜, Opponent: 邬光亚
Player: 柯洁, Date: 2019-08-31, Rating: 3717, Black and White: 执白, Result: 负, Opponent: 陶欣然
Player: 柯洁, Date: 2019-08-30, Rating: 3716, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 柯洁, Date: 2019-08-26, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2019-08-24, Rating: 3716, Black and White: 执黑, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2019-08-12, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2019-08-10, Rating: 3716, Black and White: 执黑, Result: 负, Opponent: 江维杰
Player: 柯洁, Date: 2019-08-06, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2019-08-05, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2019-08-03, Rating: 3716, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 柯洁, Date: 2019-07-29, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 柯洁, Date: 2019-07-27, Rating: 3716, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2019-07-22, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 柯洁, Date: 2019-07-20, Rating: 3716, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 柯洁, Date: 2019-07-18, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2019-07-09, Rating: 3716, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2019-06-28, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2019-06-27, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2019-06-25, Rating: 3716, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 柯洁, Date: 2019-06-20, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2019-06-15, Rating: 3716, Black and White: 执黑, Result: 胜, Opponent: 范蕴若
Player: 柯洁, Date: 2019-06-10, Rating: 3715, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2019-06-03, Rating: 3715, Black and White: 执白, Result: 负, Opponent: 时越
Player: 柯洁, Date: 2019-06-01, Rating: 3715, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 柯洁, Date: 2019-05-29, Rating: 3715, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 柯洁, Date: 2019-05-27, Rating: 3715, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 柯洁, Date: 2019-05-16, Rating: 3714, Black and White: 执白, Result: 胜, Opponent: 马特乌斯
Player: 柯洁, Date: 2019-05-15, Rating: 3714, Black and White: 执黑, Result: 胜, Opponent: 村川大介
Player: 柯洁, Date: 2019-05-15, Rating: 3714, Black and White: 执白, Result: 胜, Opponent: 李立言
Player: 柯洁, Date: 2019-05-14, Rating: 3714, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 柯洁, Date: 2019-05-14, Rating: 3714, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2019-05-11, Rating: 3714, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2019-05-06, Rating: 3714, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2019-04-29, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 戎毅
Player: 柯洁, Date: 2019-04-27, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 许嘉阳
