Player: 小林光一, Date: 1991-04-11, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 仓桥正行
Player: 小林光一, Date: 1991-04-08, Rating: 3373, Black and White: 执黑, Result: 胜, Opponent: 陈临新
Player: 小林光一, Date: 1991-03-28, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1991-03-19, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-03-13, Rating: 3374, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-03-07, Rating: 3374, Black and White: 执黑, Result: 胜, Opponent: 小松英树
Player: 小林光一, Date: 1991-02-27, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-02-20, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-02-14, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 小林光一, Date: 1991-02-06, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-01-30, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-01-18, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1991-01-09, Rating: 3377, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 聂卫平, Date: 1991-12-23, Rating: 3316, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1991-11-19, Rating: 3320, Black and White: 执黑, Result: 负, Opponent: 陈临新
Player: 聂卫平, Date: 1991-10-28, Rating: 3323, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1991-10-26, Rating: 3323, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1991-10-24, Rating: 3323, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1991-10-19, Rating: 3324, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1991-10-15, Rating: 3325, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1991-10-10, Rating: 3326, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1991-10-08, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1991-10-06, Rating: 3326, Black and White: 执白, Result: 负, Opponent: 郑弘
Player: 聂卫平, Date: 1991-10-04, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 王群
Player: 聂卫平, Date: 1991-07-22, Rating: 3337, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1991-07-19, Rating: 3337, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 聂卫平, Date: 1991-07-17, Rating: 3337, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1991-07-15, Rating: 3338, Black and White: 执白, Result: 胜, Opponent: 陈祖德
Player: 聂卫平, Date: 1991-07-13, Rating: 3338, Black and White: 执黑, Result: 胜, Opponent: 吴肇毅
Player: 聂卫平, Date: 1991-06-25, Rating: 3340, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 聂卫平, Date: 1991-06-23, Rating: 3340, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 聂卫平, Date: 1991-06-21, Rating: 3341, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 聂卫平, Date: 1991-06-07, Rating: 3343, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 聂卫平, Date: 1991-06-05, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 李豫川
Player: 聂卫平, Date: 1991-05-31, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 车泽武
Player: 聂卫平, Date: 1991-04-14, Rating: 3349, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 聂卫平, Date: 1991-04-08, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 聂卫平, Date: 1991-03-13, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1991-03-11, Rating: 3354, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1991-03-09, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1991-03-03, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 聂卫平, Date: 1991-02-13, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 聂卫平, Date: 1991-02-11, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 杨晖
Player: 聂卫平, Date: 1991-02-09, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1991-02-07, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 陈祖德
Player: 聂卫平, Date: 1991-01-26, Rating: 3358, Black and White: 执白, Result: 负, Opponent: 钱宇平
Player: 聂卫平, Date: 1991-01-23, Rating: 3359, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 聂卫平, Date: 1991-01-20, Rating: 3359, Black and White: 执白, Result: 胜, Opponent: 钱宇平
