Player: 朴廷桓, Date: 2020-11-14, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-11-11, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2020-11-09, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2020-10-27, Rating: 3705, Black and White: 执白, Result: 负, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2020-10-22, Rating: 3705, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-10-21, Rating: 3705, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-10-19, Rating: 3705, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-09-29, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2020-09-28, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 李泰贤
Player: 朴廷桓, Date: 2020-09-25, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2020-09-24, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2020-09-09, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2020-09-01, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 朴廷桓, Date: 2020-08-31, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2020-08-30, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2020-08-29, Rating: 3707, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2020-08-27, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 陈梓健
Player: 朴廷桓, Date: 2020-08-26, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 廖行文
Player: 朴廷桓, Date: 2020-08-25, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2020-08-24, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 朴廷桓, Date: 2020-08-22, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2020-08-21, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2020-08-21, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2020-08-19, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2020-08-18, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2020-07-31, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 朴廷桓, Date: 2020-07-27, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-07-26, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-07-09, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2020-06-23, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-06-22, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-06-15, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-06-08, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 洪基杓
Player: 朴廷桓, Date: 2020-06-01, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2020-05-28, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2020-05-25, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-05-14, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2020-05-04, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2020-05-03, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-04-29, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 朴廷桓, Date: 2020-04-10, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 姜升旼
Player: 朴廷桓, Date: 2020-03-30, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2020-03-11, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2020-03-09, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2020-03-02, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2020-02-17, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2020-02-12, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-02-10, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2020-01-30, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 朴进率
Player: 朴廷桓, Date: 2020-01-28, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2020-01-27, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2020-01-24, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 李映九
Player: 朴廷桓, Date: 2020-01-22, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2020-01-20, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2020-01-16, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 朴廷桓, Date: 2020-01-16, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 李昌锡
Player: 朴廷桓, Date: 2020-01-15, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2020-01-12, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 朴常镇
Player: 朴廷桓, Date: 2020-01-03, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 崔精
Player: 辜梓豪, Date: 2020-12-23, Rating: 3671, Black and White: 执白, Result: 胜, Opponent: 江维杰
Player: 辜梓豪, Date: 2020-12-22, Rating: 3671, Black and White: 执白, Result: 胜, Opponent: 芝野虎丸
Player: 辜梓豪, Date: 2020-12-21, Rating: 3670, Black and White: 执黑, Result: 胜, Opponent: 谢科
Player: 辜梓豪, Date: 2020-12-20, Rating: 3670, Black and White: 执白, Result: 负, Opponent: 谢科
Player: 辜梓豪, Date: 2020-12-18, Rating: 3670, Black and White: 执黑, Result: 胜, Opponent: 李轩豪
Player: 辜梓豪, Date: 2020-12-17, Rating: 3670, Black and White: 执白, Result: 负, Opponent: 李轩豪
Player: 辜梓豪, Date: 2020-12-13, Rating: 3670, Black and White: 执黑, Result: 胜, Opponent: 成家业
Player: 辜梓豪, Date: 2020-12-12, Rating: 3670, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 辜梓豪, Date: 2020-12-11, Rating: 3670, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 辜梓豪, Date: 2020-12-09, Rating: 3670, Black and White: 执白, Result: 负, Opponent: 时越
Player: 辜梓豪, Date: 2020-12-08, Rating: 3670, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 辜梓豪, Date: 2020-12-07, Rating: 3670, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 辜梓豪, Date: 2020-12-06, Rating: 3670, Black and White: 执黑, Result: 负, Opponent: 范廷钰
Player: 辜梓豪, Date: 2020-11-21, Rating: 3670, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 辜梓豪, Date: 2020-11-20, Rating: 3670, Black and White: 执白, Result: 胜, Opponent: 村川大介
Player: 辜梓豪, Date: 2020-11-18, Rating: 3670, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 辜梓豪, Date: 2020-11-16, Rating: 3670, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 辜梓豪, Date: 2020-10-27, Rating: 3671, Black and White: 执黑, Result: 负, Opponent: 一力辽
Player: 辜梓豪, Date: 2020-10-16, Rating: 3672, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 辜梓豪, Date: 2020-10-15, Rating: 3672, Black and White: 执白, Result: 胜, Opponent: 许家元
Player: 辜梓豪, Date: 2020-09-24, Rating: 3673, Black and White: 执白, Result: 胜, Opponent: 连笑
